Nama Hotel,Rating,Bintang,Harga,Alamat,Image,Budget_Range,Id_hotel
ARTOTEL Suites Bianti,"4,60",Hotel bintang 5,13500000,"Jl. Urip Sumoharjo No.37, Klitren, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55222",https://lh5.googleusercontent.com/p/AF1QipPLtHKSejgJkQ3Faq9QnAhEDqEktEa4zZYYBpE8=w408-h287-k-no,Expensive,52
Hotel Tentrem Yogyakarta,"4,80",Hotel bintang 5,5148675,"Jl. P. Mangkubumi No.72A, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh5.googleusercontent.com/p/AF1QipNFsnG3rSGQbAa5ByRTbRs4CiX30OCrg79GvZbQ=w408-h242-k-no,Expensive,62
Hotel Tjokro Style,"4,40",Hotel bintang 3,2707078,"Jl. Menteri Supeno No.48, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55161",https://lh5.googleusercontent.com/p/AF1QipMRm4-36sU17grimKEVBV4EFiGMj0CZ4ourHnEX=w408-h272-k-no,Expensive,63
Jambuluwuk Malioboro Hotel Yogyakarta,"4,40",Hotel bintang 5,2573994,"Jl. Gajah Mada No.67, Purwokinanti, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55166",https://lh5.googleusercontent.com/p/AF1QipN0DAYTaLzkIfDBiceX5EkhZ_Lweir_MPrZwZ6H=w408-h272-k-no,Expensive,33
THE 1O1 Yogyakarta Tugu,"4,70",Hotel bintang 4,2511000,"THE 1O1 Yogyakarta, Jl. Margo Utomo No.103, Tugu, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55232",https://lh5.googleusercontent.com/p/AF1QipOaHxQVtLK2iKXUApAO97nw9ZMkgmrD38Gwn8G2=w408-h271-k-no,Expensive,64
FORRIZ Hotel Yogyakarta,"4,50",Hotel bintang 4,2176670,"Jl. HOS Cokroaminoto No.60, Pakuncen, Wirobrajan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55253",https://lh3.googleusercontent.com/gps-proxy/AMy85WJc9NWLX9kwTCI5ZqGqsyQI8u6lL0WPyOlVAcM9MR7WtTBCE0tTZ0oGZ_ytJTZGMpWELUrs0T49JNvyLyn-aHRrjtNqan8O3rlBDd-FEYi1BVC62zkeJOelprRFowLqu6rftfZ-EKxEb2thOGbWoRX0oM3rP0vfM_Kx0MgwY_01i8qEqwKZI6TB=w408-h272-k-no,Expensive,34
Meliá Purosani Yogyakarta,"4,60",Hotel bintang 5,2040000,"Jl. Mayor Suryotomo No.31, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",https://lh5.googleusercontent.com/p/AF1QipPcgNNhBtV3f8kPMjX3tAR9zZdilhfgcXpxVmtw=w408-h510-k-no,Expensive,19
Hotel Harper Malioboro,"4,70",Hotel bintang 4,1987475,"Harper malioboro yogyakarta, Jl. P. Mangkubumi No.52, Gowongan, Jetis, Yogyakarta City, Special Region of Yogyakarta 55232",https://lh5.googleusercontent.com/p/AF1QipN-mcXhvo5jsDaCYp9opNI9ICN6t2O3t6PsbwX6=w408-h272-k-no,Expensive,28
Hotel Santika Premiere Jogja,"4,60",Hotel bintang 4,1885121,"Jl. Jend. Sudirman No.19, Cokrodiningratan, Kec. Jetis, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55233",https://lh5.googleusercontent.com/p/AF1QipM7WqmE0ThxAlanSP3aDiBEk5YToUKLWA6RfDGo=w424-h240-k-no,Expensive,61
Hotel Neo Malioboro,"4,50",Hotel bintang 3,1648720,"Jl. Ps. Kembang No.21, Sosromenduran, Gedong Tengen, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55271",https://lh5.googleusercontent.com/p/AF1QipMN4GhmB-nUoYjDe7GvT3X19xLLIZwvMRQRzw2a=w408-h271-k-no,Expensive,35
