id,transportation_mode,provider,starting_point,transportation_class,departure_location,arrival_location,distance,price
1,Plane,Wings Air,Bandar Udara Frans Seda (Bandar Udara Wai Oti) (Bandar Udara Maumere),Suite,Nusa Tenggara Timur,Yogyakarta,1139.9341013280716,2564851.727988161
2,Train,PT KAI,Parung Panjang,Suite,Bogor,Yogyakarta,422.78231889794927,507338.78267753916
3,Plane,Sriwijaya Air,Bandar Udara Internasional Kualanamu,Suite,Sumatera Selatan,Yogyakarta,877.9380166727185,1975360.5375136165
4,Plane,Citilink,Bandar Udara Blangkejeren (Bandar Udara Gayo Lues) (Bandar Udara Senubung),Suite,Aceh,Yogyakarta,2014.7223682251845,4533125.328506665
5,Train,PT KAI,Karangantu,Economic,Cilegon,Yogyakarta,523.5899966739782,418871.9973391826
6,Train,PT KAI,Bagor,Suite,Madiun,Yogyakarta,149.62256665123383,179547.0799814806
7,Plane,Wings Air,Bandar Udara Fatmawati Soekarno,Business,Jambi,Yogyakarta,1080.9267465522385,2107807.155776865
8,Bus,Sinar Jaya,nearest bus terminal,Business,Indramayu,Yogyakarta,848.6203775741213,551603.2454231789
9,Plane,PT Trigana Air Service,Bandar Udara H. Aroeppala,Suite,Sulawesi Tengah,Yogyakarta,1350.2021561312324,3037954.851295273
10,Plane,NAM Air,Unknown Airport,Suite,Gorontalo,Yogyakarta,1650.7274560911121,3714136.7762050023
11,Plane,PT Trigana Air Service,Bandar Udara Iskandar,Business,Kalimantan Utara,Yogyakarta,1378.4708290615852,2688018.116670091
12,Plane,PT Trigana Air Service,Bandar Udara Haji Muhammad Sidik,Business,Kalimantan Tengah,Yogyakarta,786.2951946731149,1533275.6296125741
13,Train,PT KAI,Palmerah,Economic,Jakarta Pusat,Yogyakarta,437.0517885095066,349641.43080760527
14,Plane,Sriwijaya Air,Bandar Udara Ngloram (Bandar Udara Blora),Business,Jawa Tengah,Yogyakarta,84.66775283966177,165102.11803734046
15,Bus,Haryanto,nearest bus terminal,Business,Grobogan,Yogyakarta,113.49164077468595,73769.56650354587
16,Train,PT KAI,Randuangung,Suite,Lumajang,Yogyakarta,315.4223117768743,378506.7741322492
17,Bus,Sinar Jaya,nearest bus terminal,Business,Lumajang,Yogyakarta,315.4223117768743,205024.5026549683
18,Bus,Haryanto,nearest bus terminal,Economic,Balikpapan,Yogyakarta,1036.1041341055677,518052.06705278385
19,Bus,Mayasari,nearest bus terminal,Business,Bengkulu,Yogyakarta,997.5854283886057,648430.5284525937
20,Bus,Budiman,nearest bus terminal,Suite,Cilegon,Yogyakarta,523.5899966739782,392692.4975054837
21,Train,PT KAI,Batuceper,Suite,Serang,Yogyakarta,526.216155379768,631459.3864557217
22,Train,PT KAI,Benowo,Business,Mojokerto,Yogyakarta,241.18707882277067,250834.5619756815
23,Bus,Haryanto,nearest bus terminal,Suite,Jambi,Yogyakarta,1080.9267465522385,810695.0599141789
24,Bus,Dewi Sri,nearest bus terminal,Economic,Batam,Yogyakarta,1225.5223093146765,612761.1546573383
25,Train,PT KAI,Semarang Tawang,Economic,Semarang,Yogyakarta,109.37687454139586,87501.49963311669
26,Train,PT KAI,Ciganea,Business,Purwakarta,Yogyakarta,358.8393633433293,373192.9378770625
27,Train,PT KAI,Kampung Bandan Atas,Business,Jakarta Utara,Yogyakarta,433.7601399791081,451110.5455782724
28,Plane,Lion Air,Bandar Udara Depati Parbo,Business,Sumatera Barat,Yogyakarta,1356.2848088436576,2644755.3772451323
29,Plane,Lion Air,Bandar Udara Abdulrachman Saleh,Suite,Jawa Barat,Yogyakarta,324.18707186347507,729420.9116928189
30,Plane,Batik Air,Bandar Udara Bengkalis (Bandar Udara Meranti) (Bandar Udara Sei Selari) (Bandar Udara Sei Pakning),Economic,Riau,Yogyakarta,1355.379546339091,2033069.3195086364
31,Bus,Hiba,nearest bus terminal,Economic,Madiun,Yogyakarta,149.62256665123383,74811.28332561691
32,Plane,Citilink,Unknown Airport,Suite,Banten,Yogyakarta,496.92179636711603,1118074.0418260111
33,Bus,Lorena,nearest bus terminal,Economic,Gresik,Yogyakarta,350.08148965766696,175040.74482883347
34,Bus,Hiba,nearest bus terminal,Business,Kediri,Yogyakarta,181.49519008042117,117971.87355227376
35,Plane,Garuda Indonesia,Bandar Udara H. Asan,Business,Kalimantan Tengah,Yogyakarta,786.2951946731149,1533275.6296125741
36,Bus,Dewi Sri,nearest bus terminal,Business,Boyolali,Yogyakarta,75.14059220340893,48841.384932215806
37,Plane,PT Trigana Air Service,Bandar Udara El Tari,Economic,Nusa Tenggara Barat,Yogyakarta,751.9764194127964,1127964.6291191946
38,Plane,Citilink,Bandar Udara Depati Amir,Business,Jambi,Yogyakarta,1080.9267465522385,2107807.155776865
39,Train,PT KAI,Cilegeh,Suite,Indramayu,Yogyakarta,848.6203775741213,1018344.4530889457
40,Plane,Sriwijaya Air,Bandar Udara Adisucipto,Suite,Jawa Barat,Yogyakarta,324.18707186347507,729420.9116928189
41,Train,PT KAI,Mojokerto,Economic,Mojokerto,Yogyakarta,241.18707882277067,192949.66305821654
42,Plane,Batik Air,Bandar Udara Amahai,Suite,Maluku,Yogyakarta,1987.6613976835763,4472238.144788047
43,Plane,Citilink,Bandar Udara Depati Parbo,Suite,Sumatera Barat,Yogyakarta,1356.2848088436576,3051640.81989823
44,Train,PT KAI,Slawi,Economic,Tegal,Yogyakarta,170.24107027498275,136192.8562199862
45,Train,PT KAI,Cipunegara,Business,Subang,Yogyakarta,1573.8721979387558,1636827.0858563061
46,Plane,NAM Air,Bandar Udara Frans Sales Lega,Business,Bali,Yogyakarta,521.9825957538203,1017866.0617199496
47,Bus,SAN (Siliwangi Antar Nusa),nearest bus terminal,Business,Sumatera Barat,Yogyakarta,1356.2848088436576,881585.1257483775
48,Train,PT KAI,Cerme,Economic,Gresik,Yogyakarta,350.08148965766696,280065.1917261336
49,Bus,Hiba,nearest bus terminal,Suite,Solo,Yogyakarta,68.04500135455822,51033.751015918664
50,Bus,Budiman,nearest bus terminal,Business,Bogor,Yogyakarta,422.78231889794927,274808.50728366704
51,Bus,Budiman,nearest bus terminal,Business,Nusa Tenggara Barat,Yogyakarta,751.9764194127964,488784.67261831765
52,Train,PT KAI,Cimahi,Economic,Cimahi,Yogyakarta,334.9202108675686,267936.1686940549
53,Bus,Haryanto,nearest bus terminal,Business,Gresik,Yogyakarta,350.08148965766696,227552.9682774835
54,Train,PT KAI,Sukatani,Economic,Purwakarta,Yogyakarta,358.8393633433293,287071.49067466345
55,Bus,Mayasari,nearest bus terminal,Suite,Tegal,Yogyakarta,170.24107027498275,127680.80270623707
56,Plane,NAM Air,Bandar Udara Djalaluddin,Economic,Sulawesi Tengah,Yogyakarta,1350.2021561312324,2025303.2341968487
57,Plane,Wings Air,Bandar Udara Amahai,Economic,Maluku,Yogyakarta,1987.6613976835763,2981492.0965253646
58,Train,PT KAI,Gambir,Economic,Jakarta Pusat,Yogyakarta,437.0517885095066,349641.43080760527
59,Plane,Lion Air,Bandar Udara Internasional Kualanamu,Economic,Sumatera Selatan,Yogyakarta,877.9380166727185,1316907.0250090777
60,Plane,Batik Air,Bandar Udara H. Aroeppala,Suite,Sulawesi Utara,Yogyakarta,1797.54188318467,4044469.237165508
61,Bus,SAN (Siliwangi Antar Nusa),nearest bus terminal,Suite,Tuban,Yogyakarta,222.337926911915,166753.44518393624
62,Train,PT KAI,Pondok Cina,Business,Depok,Yogyakarta,428.9755164057098,446134.5370619382
63,Bus,Hiba,nearest bus terminal,Suite,Balikpapan,Yogyakarta,1036.1041341055677,777078.1005791757
